time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054294.5699,2024-07-26 21:24:54.569,neutral,frown,0.95,clench,0.8
1722054294.6012,2024-07-26 21:24:54.601,neutral,frown,0.95,clench,0.8
1722054294.6324,2024-07-26 21:24:54.632,neutral,frown,0.95,clench,0.8
1722054294.6637,2024-07-26 21:24:54.663,neutral,frown,0.95,clench,0.8
1722054294.6949,2024-07-26 21:24:54.694,neutral,frown,0.95,clench,0.8
1722054294.7262,2024-07-26 21:24:54.726,neutral,frown,0.95,clench,0.8
1722054294.7574,2024-07-26 21:24:54.757,neutral,frown,0.95,clench,0.8
1722054294.7887,2024-07-26 21:24:54.788,neutral,frown,0.95,clench,0.8
1722054294.8199,2024-07-26 21:24:54.819,neutral,frown,0.95,clench,0.8
1722054294.8512,2024-07-26 21:24:54.851,neutral,frown,0.95,clench,0.8
1722054294.8824,2024-07-26 21:24:54.882,neutral,frown,0.95,clench,0.8
1722054294.9137,2024-07-26 21:24:54.913,neutral,frown,0.95,clench,0.8
1722054294.9449,2024-07-26 21:24:54.944,neutral,frown,0.95,clench,0.8
1722054294.9762,2024-07-26 21:24:54.976,neutral,frown,0.95,clench,0.8
1722054295.0074,2024-07-26 21:24:55.007,neutral,frown,0.95,clench,0.8
1722054295.0387,2024-07-26 21:24:55.038,neutral,frown,0.95,clench,0.8
1722054295.0699,2024-07-26 21:24:55.069,neutral,frown,0.95,clench,0.8
1722054295.1012,2024-07-26 21:24:55.101,neutral,frown,0.95,clench,0.8
1722054295.1324,2024-07-26 21:24:55.132,neutral,frown,0.95,clench,0.8
1722054295.1637,2024-07-26 21:24:55.163,neutral,frown,0.95,clench,0.8
1722054295.1949,2024-07-26 21:24:55.194,neutral,frown,0.95,clench,0.8
1722054295.2262,2024-07-26 21:24:55.226,neutral,frown,0.95,clench,0.8
1722054295.2574,2024-07-26 21:24:55.257,neutral,frown,0.95,clench,0.8
1722054295.2887,2024-07-26 21:24:55.288,neutral,frown,0.95,clench,0.8
1722054295.3199,2024-07-26 21:24:55.319,neutral,frown,0.95,clench,0.8
1722054295.3512,2024-07-26 21:24:55.351,neutral,frown,0.95,clench,0.8
1722054295.3824,2024-07-26 21:24:55.382,neutral,frown,0.95,clench,0.8
1722054295.4137,2024-07-26 21:24:55.413,neutral,frown,0.95,clench,0.8
1722054295.4449,2024-07-26 21:24:55.444,neutral,frown,0.95,clench,0.8
1722054295.4762,2024-07-26 21:24:55.476,neutral,frown,0.95,clench,0.8
1722054295.5074,2024-07-26 21:24:55.507,neutral,frown,0.95,clench,0.8
1722054295.5387,2024-07-26 21:24:55.538,neutral,frown,0.95,clench,0.8
1722054295.5699,2024-07-26 21:24:55.569,neutral,frown,0.95,clench,0.8
1722054295.6012,2024-07-26 21:24:55.601,neutral,frown,0.95,clench,0.8
1722054295.6324,2024-07-26 21:24:55.632,neutral,frown,0.95,clench,0.8
1722054295.6637,2024-07-26 21:24:55.663,neutral,frown,0.95,clench,0.8
1722054295.6949,2024-07-26 21:24:55.694,neutral,frown,0.95,clench,0.8
1722054295.7262,2024-07-26 21:24:55.726,neutral,frown,0.95,clench,0.8
1722054295.7574,2024-07-26 21:24:55.757,neutral,frown,0.95,clench,0.8
